微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgVskDyWx,https://weibo.cn/comment/KgVskDyWx?uid=1083691774&rl=0#cmtfrm,"转发理由://@天涯历知幸:国之栋梁//@营养师王佶:国士无双  
原始用户: 八鹅吃瓜酱
转发内容: 吴孟超院士真的好伟大啊，出身华侨家庭，为了抗日毅然决然的回到祖国，从医70余年救了16000多名患者的生命。因为长时间握手术刀，吴老的手指已变形，因为做手术需要长期站立，他年龄大了站不了那么久，他就习惯性把第二个脚趾搭在大脚趾上增加抓力，时间长了脚也变形了。面对篮球那么大的肿瘤，别人都不敢做，怕做不好影响名誉，吴老说：“名誉算什么，我不过是一个吴孟超嘛，救治病人是我的天职。”         [组图共9张]      原图                     ",False,无,2021-05-24 11:29,iPhone客户端,0,0,0
KgV4DtzAs,https://weibo.cn/comment/KgV4DtzAs?uid=1083691774&rl=0#cmtfrm,"转发理由:  
原始用户: 央视新闻
转发内容: 【送别！】今天，#袁隆平遗体送别仪式#。袁老，一路走好。 央视新闻的微博视频  ",False,无,2021-05-24 10:31 ,iPhone客户端,0,0,0
KgURV2Y7U,https://weibo.cn/comment/KgURV2Y7U?uid=1083691774&rl=0#cmtfrm,"转发理由://@快乐肥宅庆先森:图1//@薛定谔的英短咕咕咕:   
原始用户: 奥特虾不会写代码
转发内容: 来吊唁一下吴院士灵堂没有放哀乐，放的是《国际歌》和我同一批进灵堂的阿姨，是院士二十多年前的病人，她拉着院士的家属说，如果没有吴院士，她要少活二十多年听到《国际歌》的那一刻，我差点破防了院士一路走好 上海·第二军医大学附属东方肝胆外科医院  [组图共3张] 原图 ",False,无,2021-05-24 10:00 ,iPhone客户端,0,0,0
KgUH5FdbQ,https://weibo.cn/comment/KgUH5FdbQ?uid=1083691774&rl=0#cmtfrm,"转发理由://@Kang:看一下这些人有没有关注赵博士//@Min丨泯:没有人性是这群人的标志，以没有同理心为自豪 //@电玩口袋社区: 乐  
原始用户: 汗青微博
转发内容: 给你们看一下在甘肃马拉松不幸遇难者家属@爸爸我来给你暖手了 的微博下，成批涌现的当代红卫兵小将标本。  [组图共3张] 原图 ",False,无,2021-05-24 09:33 ,iPhone客户端,0,0,0
KgUsCyqfp,https://weibo.cn/comment/KgUsCyqfp?uid=1083691774&rl=0#cmtfrm,"转发理由://@碎叫: 有风的情况下，贴肉穿（裹）再套上衣服，能有效保护热量丧失。  
原始用户: 握爪三宝
转发内容: 给大家安利下，保温毯（救生毯）我家里常备的（照片里这些就是刚拍的），一盒烟大小，很轻；出门旅游，尤其是长途自驾游啥的我都会放几个在身边。网上到处有卖，一个也就几块钱，你值得拥有  [组图共2张] 原图 ",False,无,2021-05-24 08:57 ,微博 weibo.com,0,0,0
KgOglCoYH,https://weibo.cn/comment/KgOglCoYH?uid=1083691774&rl=0#cmtfrm,"转发理由://@邢立达:宝宝这篇写得直达人心。现在绝大部分年轻人已经不知道真饿的滋味。这不遗憾，是幸福。司空见惯的幸福反而没味道。但其中道理还是要知道。  
原始用户: 河森堡
转发内容: 袁隆平先生去世了，全国人民陷入巨大的悲痛，人们悼念袁先生，因为他帮助这个民族摆脱了最深切的恐惧。数千年来，这片古老的土地一直都在崩塌中轮回，之前也从未有人能忤逆这个宿命。回顾历史，传统农业社会永远存在着一个根本性的矛盾，即人口总是会以指数速度膨胀，而土地资源却只能以线性速度增长，这意味着只要放任人口自然生息，人均耕地面积将不断地被分割稀释，直到土地被透支到极限，社会秩序也将随之崩溃，战争和饥荒将规模化地消灭人口，直到人口和土地之间的关系重新归于平衡。当这个规律在18世纪末被欧洲学者用著作首次描述时，书中人地关系的矛盾正在中国愈演愈烈。清代学者统计，自乾隆年间至道光年间，全国耕地面积基本没变，但人口却实现了翻倍，在道光年间达到了4.2亿，土地还是那么多，但却凭空多出上亿张吃饭的嘴，在人口压力最大的地方，人均耕地面积甚至被挤压到1亩不到，天下就这样酝酿起恐怖的应力。再之后，就像历史中无数次上演过的悲剧那样，千戈锋起，喊杀震天，走投无路的民众揭竿而起，其中最惨烈的一场农民战争据推测造成的人口损失超过一亿，近乎相当于两次世界大战的全球死亡人口总和，特别值得一提的是，历朝历代，每当人地矛盾不可调和时，伴随着大规模人口崩塌的是无数人伦灭绝的惨剧，人口买卖，杀婴弃婴，以及配图中出现频率最高的那三个字。这是我们这个民族自古以来最深切的恐惧，而这一切，归根结底都可以追溯到一个字上，那就是“饿”。人口总会膨胀，但土地永远有限，那些不顾一切拼杀挣扎的人们就是想吃口饱饭，有错吗？一个在轮回中周期性崩塌的民族，不可能有任何未来。昨天，我和新浪的朋友们一起去参观中国科学院，接待我们的是一个个年轻的科学家，他们为我们介绍病毒疫苗的研发，为我们介绍航空航天的进展，为我们介绍人工智能的突破，为我们介绍超级计算机的性能，而最让我感兴趣的是北京正负电子对撞机，那是人类基础理论的前沿，我一度非常羡慕对撞机的工作人员，因为他们在研究人类所有认知最底层的所以然。然而，这只是从理论层面出发的说法，从现实层面来说，中科院今天无数尖端科技最底层的所以然，其实就是一个字，那就是“饱”。如何追寻宇宙远方的秘密，如何摸索物质和能量的底层规律，如何用超级算力将混沌概括为精准的预测，乃至如何研发出病毒疫苗以捍卫全人类的安全和命运，这些根本就不是一个饿着肚子的民族有资格思考的问题。让大家吃饱是一项复杂而艰巨的事业，无数领域的英才贡献过自己的才华和汗水，然而，在他们之中，起到最核心作用的无疑是袁隆平先生以及与他并肩的农学英雄们，他们沉静地摸索着，奔走着，坚持着，拼搏着，终于将世界上人口最多的民族拉出了那个在数学上无解的轮回。在一次曾经的媒体采访中，袁隆平先生陷入了痛苦的回忆，他想起年轻时亲眼见到大家吃不饱饭，有人被活活饿死，记者问：“您是不是特别害怕这样的场景再次出现？” 袁隆平先生平静地说“不可能了”，而正是袁先生的这句不可能，让之后的一切成为了可能。昨天，在中科院空间应用与技术中心时，我刷到一条视频，袁隆平先生的灵车离开医院，无数的群众上街哭送，齐声高喊着：“袁爷爷，一路走好！” 我一抬头，正好看到中国最新式的运载火箭在巨型演示屏上点火升空，火箭尾焰爆射出刺眼澎湃的光辉，怒号着奔腾着势不可挡地冲破苍穹，此时，我低下头，看到那天空中的万丈光芒照亮了我手机屏幕上安静远去的灵车。#中科院公众科学日#         [组图共9张]      原图                     ",False,无,2021-05-23 17:11,iPhone客户端,0,0,0
KgOejeM3d,https://weibo.cn/comment/KgOejeM3d?uid=1083691774&rl=0#cmtfrm,"转发理由://@段鲈鳗://@李某正在潜逃://@磚頭_养病摸鱼中://@人工智障仨傻: //@53碘://@000_STARDUST_000 :转发微博  
原始用户: -四分三十三秒-
转发内容: 转发微博，你的名字会点亮一朵小白花。袁隆平、吴孟超先生千古#一起为袁隆平吴孟超守夜#  [组图共2张] 原图 ",False,无,2021-05-23 17:06,iPhone客户端,0,0,0
KgNLhBnQY,https://weibo.cn/comment/KgNLhBnQY?uid=1083691774&rl=0#cmtfrm,"转发理由://@午后狂睡:哈哈哈哈哈……  
原始用户: 欢声笑语bot
转发内容: 盲 盒  [组图共2张] 原图 ",False,无,2021-05-23 15:54,iPhone客户端,0,0,0
KgMNN2e9e,https://weibo.cn/comment/KgMNN2e9e?uid=1083691774&rl=0#cmtfrm,"转发理由://@专业戳轮胎熊律师:反正越穷的小国，越倒霉……  
原始用户: 豢龙有道
转发内容: 国际粮价大幅度上涨，小麦玉米一路疯涨，水稻岿然不动，甚至水稻期货根本没人爱做，因为价格太稳定了。美国疫情印钞票通货膨胀，巴西粮食紧张，粮价高涨，中国因为去年大丰收，大米强势降价5分钱。指望资本家让你吃饱饭？别做梦了，资本家只想在期货市场买空卖空投机倒把空手套白狼。  [组图共4张] 原图 ",False,无,2021-05-23 13:28,iPhone客户端,0,0,0
KgL5VcVL5,https://weibo.cn/comment/KgL5VcVL5?uid=1083691774&rl=0#cmtfrm,"转发理由://@大魔王FCP:转发微博  
原始用户: 月风_投资笔记
转发内容: 既然有袁老的黑子，我再发一个刺激你们好了。以前碰到隆平高科的人，聊过两句，袁老的人品、私德，圈里有口皆碑。他的妻子是他当年的学生，原因并不是你第一时间想到的师生恋桥段，而是袁老确实长的相貌平平，当时他在任湖南省安江农业学校教员，那时他认识了后来的妻子，邓哲。1960年7月，袁隆平在农校试验田中意外发现一株特殊性状的水稻，他推论该为天然杂交水稻。这是命运对他的眷顾。1961年春天，袁隆平把这株变异株的种子播到创业试验田里，结果证明了1960年发现的那个“鹤立鸡群”的植株，是“天然杂交稻”。他当时是一个安江民校的教师，但面对当时严重饥荒，他立志用农业科学技术击败饥饿威胁，从事水稻雄性不育试验。在全心沉浸于杂交水稻的研究上后，衬衣穿脏了，就把衣领翻过来继续穿，上课时找不着黑板擦就直接用袖口擦。不仅如此，袁老还被人戏称为“刚果布”、“油炸鬼”，相亲也是屡屡碰壁，三十多了还没成家。但是邓哲不这么想，她觉得袁老那股专注劲，是真正的人才。1964年2月22日，36岁的袁隆平与26岁的已经成为农技干部的邓哲结婚。结婚前他悄悄地问邓哲：要不要给你买身新衣服啊？邓哲害羞地拒绝：不要！不要！结婚后，邓哲全力支持袁老的工作，2年之后，那篇著名的《水稻的雄性不孕性》，刊登在中国科学院主编的《科学通报》半月刊第17卷第4期上。——文献里那6株天然雄性不育株，就是邓哲和袁老一起亲自下田找到的。然而杂交水稻研究刚起步，全国就卷起政治风暴，不少矛头开始指向袁隆平。他忧心忡忡地对邓哲说：“我先跟你讲一下，你要做好心理准备，明天我可能就要上台挨批斗，进牛棚了。”邓哲不假思索：“大不了跟你一起种田当农民，你照样可以搞你的杂交水稻。”无数夫妻反目成仇、划清界限的年代，邓哲的回答像黑夜里的夜明珠一样珍贵，给袁隆平带来莫大的安慰和力量。后来，袁老也开始变得浪漫起来：他常拉着邓哲去沅江边的沙滩，一个拉小提琴，一个唱歌，互相倾听凝视，琴瑟和鸣；出差时他想给邓哲买裙子，却不知道尺码，索性买了两条，写信说“哪条合适穿哪条”；出国时他尽可能带着邓哲，细心地做了写有英文求助语的牌子，防止老婆走丢；他担心邓哲洗澡时煤气中毒，隔两分钟就得喊她的名字，有回音才放心；邓哲63岁学会开车，他却执意不许她开，说“好不容易团聚了，我想多守着你几年”。“爱是一份长久的承诺。爱，渗透在日常生活的每个细节中，哪怕是一个会心的微笑，擦一擦汗，洗一次碗，陪爱人逛一次街，都是幸福的，值得回味的。”这是袁老的原话。即使不提专业上的伟大成就，单单说和妻子相濡以沫，一起抗过那段最艰难的岁月，也不是每一个人能做到的。说一句励志的话，袁老是一个长相最普通的中国男人，但做到了和平年代一个中国男人能做到的极致，无论对事业对妻子还是对国家。这是一个可以写入史书的暖男。                     ",False,无,2021-05-23 09:07,iPhone客户端,0,0,0
