微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgNi5piw1,https://weibo.cn/comment/KgNi5piw1?uid=1033771023&rl=0#cmtfrm,[置顶]#四菜一汤##滋味#火腿老鸭汤、红烧石头鱼、呛河虾、白灼秋葵、红烧肉汁焖茭白。  [组图共6张] 原图 ,True,无,2021-05-23 14:42,微博国际版,80,4,17
KgUJXzwFW,https://weibo.cn/comment/KgUJXzwFW?uid=1033771023&rl=0#cmtfrm,"转发理由:我也很讨厌大锅油，主要的原因是各种食材被油裹住以后没法做到五味融合。违反了中餐的基本烹饪原理。从这个意义上讲东北大锅炖比宽油好。//@市场博物: 我现在反过来，因为拉油，走油，觉得家里菜比饭店的好吃。特别是炸排骨等的老油味道，真是倒胃口。  
原始用户: 劳毅波广州大波波
转发内容: 【探讨】食用油的品种和数量，是未来中国各大菜系专业烹饪要长期解决的问题，技术争议会很大。由于“粤菜图书馆”的原因，经常翻阅粤菜菜谱，也发现同类问题，虽然粤菜与其他菜油相比，油耗算低。拉油、走油，是粤菜专业烹饪的常用手段，仅一个成品菜而言，在食肆所耗的油量是在家里的几倍，当然这也是在外面觉得比家里好吃的原因之一。“去油减油”与“香口好吃”，怎样2选一 ？#食侧供给#              原图                     ",False,无,2021-05-24 09:40 ,微博 weibo.com,7,5,4
KgUGa6qnQ,https://weibo.cn/comment/KgUGa6qnQ?uid=1033771023&rl=0#cmtfrm,"转发理由:回复@magnifico-:还有人用茅台泡杨梅的。真是糟蹋好东西。//@magnifico-:我很多朋友用格兰花格105泡梅子……  
原始用户: 太平湖冲浪手
转发内容: @水獭otter 今年梅酒带点实验性质 前两瓶分别是威士忌和雷司令 第三瓶基酒用的是去年泡的梅子酒  原图 ",False,无,2021-05-24 09:31 ,微博 weibo.com,4,1,7
KgUFwaGyo,https://weibo.cn/comment/KgUFwaGyo?uid=1033771023&rl=0#cmtfrm,"转发理由:这十来年商业综合体日子不好过。//@月风_投资笔记: 你们担心的一些商业逻辑漏洞，在现实中都有人会去填补，真的别担心，因为这些都是利润和商机。是薇娅李佳琪们，揍哭了万达，这个结论好玩么。  
原始用户: 月风_投资笔记
转发内容: 哈哈，这个评论太可爱了，聊这个我就不困了，毕竟是传媒营销的专业领域。第一代和第二代直播，就是所谓的自服务模式，你的逻辑是对的，因为成本是刚性的，那么必须卖高毛利的产品，最好是没有市场合理均价的非标准商品（非标），所以早期明星直播走这种模式的都翻船了，因为一头把握不住品质另一头把握不住售后。举个例子，早年像李湘直播卖非标的貂皮大衣一件没卖出去，一度让许多人误判了这个行业的趋势；第三代直播则开始进化，主要卖的是和非标相对的标准品，比如大牌化妆品。——这里就可以容易做好品控，客户维护成本大幅降低，因为本质上的品控和售后，70%在品牌方那边。这里可以大幅降低成本的另一面，因为品牌方比较强势，利润率也开始摊薄，但是还是有利可图。薇娅和李佳琪就是典型的代表，因为这种模式可以充分利用互联网加持下的中国人口基数效应，从1亿人口袋里赚几块钱比从10个人口袋里赚1000万反而更容易；第四代主播则是MCN化，彻底淡出售前售后这一端，本质上的客户服务成本和维护成本都由后台的MCN来承担，包括所谓的选品和控价。——这时，网红大V已经彻底符号化，TA就是一个流量平台，只负责流量分发和客户宣导，其他所有的成本都是后台来承担。对于TA本人而言，收入即是净利润。你们担心的一些商业逻辑漏洞，在现实中都有人会去填补，真的别担心，因为这些都是利润和商机。但是我们要回到核心问题的本质：理论上，除非有生产效率的提升、成本的长期下降和技术进步，不然一切利润都是转移的，而非额外创造出来的。那么这里，头部主播那些非常便宜的标准品的折扣到底是哪里来的？答案是：因为头部主播就是渠道和品宣方，所以节约了广告费、柜台费、人工和房租成本，本质上讲，额外的折扣是从这些地方上省出来的。或者说，从包租公包租婆那边拿过来的。在这个全社会都为高房价高房租打工的现状下，直播是除了外卖以外，另一个从商业地产方“偷”走利润补贴大家的特定职业。——但凡是帮大家能省掉房租成本的，都是能大火的行业。是薇娅李佳琪们，揍哭了万达。              原图                     ",False,无,2021-05-24 09:29 ,微博 weibo.com,10,9,1
KgUEroOc8,https://weibo.cn/comment/KgUEroOc8?uid=1033771023&rl=0#cmtfrm,"转发理由:这方面十一郎是专业人士。要重视。  
原始用户: 十一郞
转发内容: 【甘肃#黄河石林山地马拉松惨案#给了我们什么警示？】1、172人参赛，21人遇难。可谓山地马拉松世界第一灾难！海拔不过是2000米左右，死亡率却高达12.2%，比珠峰登顶死亡率（2%多）还要高很多。喻示着什么？至少，对安全的重视程度远远不够。2、突遇极端天气是外因，但绝非主因。组织方存在几大问题：a、以当前的天气预报水平而言，哪怕仅仅是下载几个稍微专业一些的野外天气预报软件，也不会对突发天气毫无预知。那么，组织方对天气预报的获取和掌握，究竟是什么水平？b、如果已提前或及时得知天气骤变，为何没能更早叫停比赛、减少选手伤亡？c、赛事规则设定、沿途的应急站点设置、救援力量安排、信息沟通系统保障、整体应急预案，都是什么水平？d、除了具体的承办方，主办方的监督责任落实得如何？3、出现重大伤亡，对死难者家属和受伤者的赔偿，有哪些保障？比如商业保险等。4、网上冒出各种普及失温知识的文章，从个人到机构都有。由此引起公众的重视当然是有益的，但内容水平实在参差不齐，亦凸显野外安全知识的普及严重欠缺。5、已经出现因此事故，紧急叫停其他马拉松赛事或越野跑赛事的情况。但，如果各地一刀切禁止，是否不利于全民健身运动的发展？6、个人观察：从场地竞技运动发展到越野跑领域的选手，对于恶劣自然条件带来的危害，显然不如由户外运动起步进入越野跑的人群，那么熟悉和重视。但此次灾难的主因，显然不在于此。跑步已成为近年增速最快的全民健身运动项目，如何面向这个庞大人群普及更多的安全知识、野外技能？7、除了具体追责，能否以本次重大事故为案例，由全国性的专业主管部门与相关专家和资深爱好者共同认真研究，制订一套切实可行的行业运行新规范？从而推动行业进步。如此惨重的伤亡，实在不应该！愿逝者安息！也希望从灾难中吸取有效的教训，从而减少今后的伤亡损失！                     ",False,无,2021-05-24 09:27 ,微博 weibo.com,9,11,3
KgUmCAfJd,https://weibo.cn/comment/KgUmCAfJd?uid=1033771023&rl=0#cmtfrm,"转发理由:船方是怎么知道你喜欢短裙大长腿的？  
原始用户: sniper-china
转发内容: 现在我在蛇口出发的船上。短裙大长腿服务员走到我旁边，请我关注她们的公众号，无法抗拒啊，小妹妹告诉我，可以在上面预定船票。然后一溜烟不见了。忽然想到，我是前几天在某网站买的船票，还多花了三元服务费。回程船票考虑变化可能性没有买。显然，我的购票行为信息已经船方完整知悉，才会有大长腿的精准营销。木有任何隐私的年代。                     ",False,无,2021-05-24 08:43 ,微博 weibo.com,7,1,3
KgRfa0Po7,https://weibo.cn/comment/KgRfa0Po7?uid=1033771023&rl=0#cmtfrm,"转发理由:前面两个都不好。泡酒是要把原料比如说梅子本身风味泡出来，所以基酒越中性越好。白酒那就选用清香型或者小曲白酒。洋酒最佳就是伏特加。威士忌几乎和所有的其他风味冲突。洋酒以威士忌作为基酒的鸡尾酒可能是最少的。雷司令度数太低，容易变质。也没法把梅子的风味提取出来。  
原始用户: 太平湖冲浪手
转发内容: @水獭otter 今年梅酒带点实验性质 前两瓶分别是威士忌和雷司令 第三瓶基酒用的是去年泡的梅子酒  原图 ",False,无,2021-05-24 00:46 ,微博 weibo.com,18,11,12
KgQSGsc9o,https://weibo.cn/comment/KgQSGsc9o?uid=1033771023&rl=0#cmtfrm,"转发理由:良心酒单。这些酒都不贵，品质都很好。而且可以让你选出你自己喜欢风格，喜欢的可以从这个方向升级。我自己也是，新品牌会现在先买这个档次的酒。喜欢这家风格再尝试更贵的年份。  
原始用户: 威士忌斯基
转发内容: 老贴新发：入门酒单20款晚上从公司回到家里屋内像蒸笼一样闷热，习惯性打开冰箱，冰箱里永远有几只威士忌，一只是亚伯乐18年还有一只格兰威特17年单桶，就在开启瓶塞时，喝这几款酒已经很多年了，一切顺其自然、仿佛看到一个忠诚的朋友，耐心为我洗尽一天的风尘。前几天写的酒单被许多同学转发，也有同学进行了整理和归纳，大部分单价都在1000-3000之间。的确是这样的，作为一个精致物质主义者，我总是崇尚一个理念，有条件喝好的就尽量喝点好的吧。吃喝事体重大，尽量认真精心对待自己，不要轻易糊弄，骗别人可以，不要骗自己。全世界的威士忌酒厂主要收入来源其实都是靠基本款低年份挣钱，因为熟成时间短容易出产量，因此也会有同学误解，年份低的就不是好酒。这真是一个超级复杂的问题，就像总有人问我什么牌子的威士忌最好，认真起来其实很难回答。低年份威士忌就像一个成长的人一样，有少年到老年各个人生阶段，这时非要有人问你：什么样的人长的好看？好难回答。换做我回答就会说都好看，少年时会注重人的外型相貌，青年时会注重是否好相处，中年时会注重内涵品味，老年人会注重什么？呵呵，我听说一个老人收到一份极普通的礼物都会感动几天。威士忌同理，年份低的威士忌其实就是在某个青年阶段，我们用看待青年男女的眼光去看低年份威士忌就会感觉很相似。新鲜，结实，干净，朝气强壮这都是青年人应有的特质。寻找一款喜欢的威士忌就像交朋友，合适的人去交合适的朋友，令你开心舒适的就是最好的朋友。我们在茫茫人海中能够交往的朋友其实并不多，何况数百上千款威士忌呢，那么，我就把我这些年交往过的青年朋友介绍给大家。排名不分先后 20款：麦卡伦12 入门酒之一，建立高级口感从它开始格兰威特12 斯佩塞之风格集成，花香枣味清鲜格兰卡登10 纯波本熟成，奶油冰淇淋格兰多纳12 紧随麦卡伦步伐，性价一流皇家布莱克12 奶香加烤蛋糕，颠覆你的味蕾卡杰拉奇13 青草和烤糊的面包混在一起拉加维林16 拉加无弱酒，16是代表欧摩12 干燥的麦草和麦芽糖在阳光下暴晒艾伦12 强度，麦芽的暴躁和细腻冲突复杂有深度拉佛格10 我的入门酒，喝了让你打开世界另一扇窗户百富12 新鲜的瓜果和奶油混过柔美甜腻云顶10 淡烟熏中掩饰着复杂的情绪波摩15 春上春树的挚爱，烟熏和肥皂香浓浓文艺风阿贝10 重烟熏中带着奶油蛋糕的甜美泰斯卡北纬57 不会喝泰斯卡简直无法撩妹克利尼利基14 苏格兰威士忌的种子选手，必须反复喝苏格登12 新时代苏格兰威士忌中的小鲜肉欧肯特轩三桶 低地代表，轻柔干净的芬芳令人感受着春天富特尼12 渔人码头风味，丰盛的海鲜自助大餐格兰杰纳桑塔 蜂蜜加蜜饯干果调制的功能饮料当然我喝过的低年份还有很多，但是我瞬间不假思索能够想出来的其实已经超过了30多款，经过推敲，既照顾到产地又照顾到风味和消费力，精选的这20款单价300-500，总价应该不会超过10000元，作为一个初学者，我觉得用一年的时间喝完已经非常靠谱了。有同学肯定好奇为啥酒单里没有日本威士忌，日本威士忌目前走位较高，10000的盖子根本关不住，不如我们先喝点苏格兰单一麦芽威士忌吧                     ",False,无,2021-05-23 23:51,微博 weibo.com,40,48,2
KgQ9jDGFF,https://weibo.cn/comment/KgQ9jDGFF?uid=1033771023&rl=0#cmtfrm,"转发理由:其实吧，所谓烤生蚝的“烤”只是个噱头。家里做蒸就行了，都不用开。蒸熟自然开了。没开的就是新鲜度不好的扔掉。然后上蒜蓉酱浇热油就行了。  
原始用户: 饭醉独角兽
转发内容: 如果，我再买这种生蚝，就剁手！！开生蚝开到绝望！什么卡门式法式舌吻！我只想能把它打开！！饭老师Homemade蒜蓉烤生蚝～  [组图共9张] 原图 ",False,无,2021-05-23 21:59,微博 weibo.com,36,11,14
KgPWc67BY,https://weibo.cn/comment/KgPWc67BY?uid=1033771023&rl=0#cmtfrm,"转发理由:已经很好了。多少人家房改以前一家人就一间房。//@西峯: 写得真好啊  
原始用户: 五花王II
转发内容: 1989年是建国四十周年，这年大同到运城的二级公路全线贯通（现在的G241、G338、G108等等），北同蒲铁路也完成了电气化。煤矿在河西岸，车站在河东岸，过去有一条用窄轨绞轮运输的装车站线路，过河后卸到车站堆场装车，电气化改造之后在河东岸的二级路旁修了准轨自动装车机的集运站，人工装卸的旧煤炭站台就废弃拆除了，但遗留了一个巨大的煤矸石堆积坡，改造线路的施工队把这里推平，这样有点像填海造陆一样，在火车站这个河谷半山人工弄出来的平场边上，又多出来大概一亩多地的平地。车站打报告利用施工队在的条件，在这里盖了两排平房，预制板房顶，按照煤矿上干部住宅标准盖的，每排三间，一间3X5，当时名下没有分到房子，又算得上干部的只有我父亲和站长（此前我们家住在二级路旁边靠近河滩的沟里，是每间9平米的土坯瓦顶工人住宅，一共两间），所以我后来怀疑这个房子完全是站长家为了自己住好点又不好意思只给自己盖才弄的，1994年我们搬到了段上分的楼房，就此离开了镇子，在这个房子里前后住了五年。这个房子西侧就是矸石坡，地基外整个地面都是煤矸石，后来我父亲又自己买了点砖头，在公房西侧盖了一间厨房加餐厅，还通了自来水（此前包括我祖父和外祖父家，乃至我家都是去机井挑水，放水瓮的），虽然经验不足保温没做好，这个管道冬天偶尔会冻结，最早每天也只有六小时供水，但毕竟还是用上了现代化设施。家具都是自己找木匠做的，我有了自己的一个小房间在东屋，父母睡在堂屋北墙隔出来的炕上，西边的房间一开始是客厅，后来我二舅有了孩子住不下了，我又上初中住校，外祖父母就搬过来一起生活。院子大概有140平米的样子，当时我二舅开卡车，从山上拉了很多土下来垫院子，大约垫了有半米深，院子的西南角是个砌出来旱厕，东南盖了一间小库房，大概也就是九平米左右，西墙堆柴火和燃煤，以及狗窝和鸡窝。没错，还自己养了三只鸡，养了一条黄土狗。旱厕当然要用来堆肥，我母亲和我外祖父在院子里种了黄瓜豆角南瓜西红柿香菜土豆红薯玉米之类的作物，但可能是土太薄，土豆一直只能长乒乓球网球大小，好吃还是挺好吃的。这个房子取暖是一套土锅炉，烧原煤的炉子也用来做饭，放在厨房，在炉子上烤馒头，灶灰里烤红薯是美食。烧土锅炉是个技术活，要先把桦皮点着，再塞劈柴，然后塞块煤，最后用煤面子蒙起来防止烧的太快。因为运回来的原煤基本都是大块，所以还要先用锤子砸成小块，砸成合适大小也是有技巧的。平常阴燃，做饭的时候用火柱（铁做的长锥子）捅开通氧就会着的比较旺。1992年以后有了液化气，这个土锅炉就只有冬天才烧了。但如果烧得不好火太旺，管子里的水会沸腾，这样还得给水箱上水，水箱在房顶，用软管从水龙头接水上去才行。此外预制板房子防水是个大问题，每年夏天都漏雨，这样还要烧热油毡（沥青）来补，然后再铺塑料布，用砖头压好，因为近似平顶，弄不好还会积水。烧煤取暖带来另一个烦恼是房子会被熏黑，每年过年之前要重新刷墙和房顶，有个形象的词叫“刮家”。这个家有几样电器：落地电扇，后来还装了个吊扇，利勃海尔冰箱（我母亲把钱和存折放在铝饭盒然后藏在那个小小的冷冻室里），一个松下的21寸彩电（应该是1992年买的，还带遥控器），在此之前是一个18寸的夏普，还有一个带电唱机、收音机和双卡录音机的长江组合音响。现在想来，我父母年轻时候真的是月光族，后来他们还买了录像机，召集狐朋狗友看什么英雄本色旺角卡门东邪西毒，有时有些少儿不宜的片源，还要把我撵出去。还好1993年买了个小霸王学习机，这种时刻我就跑到后院找邻居大姐姐玩魂斗罗去了，电话应该是1994年装的。暑假我经常一个人在家，父母都是倒班，我有时就在院子里玩烧烤，烤土豆红薯，用砖头砌个灶，烧劈柴，有一次火太旺把留作种子的香菜全烧了，结果当然是一顿好打。另一个乐趣是冬天有时能弄到北戴河产的军用罐头，自己开了罐放在炉子上热个红烧排骨再煮一包八达岭方便面，能把碗舔到不用洗的程度。这个房子离铁道实在太近了，电力机车一过连电视都雪花一片，玻璃嗡嗡响，后来想想，那已经算是很好的生活了吧。                     ",False,无,2021-05-23 21:27,微博 weibo.com,14,14,1
